CA1_DG,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_RSP]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[I_RSP]up--(Calm2_Trpc5.csv),0.93028907,0.970109568,0.970695002,0.973918287,0.989822422,0.96696687, '+'
I_V-VIa-VIb,'IVH_3d_110', 'IVH_3d_130', 'IVH_3d_150', 'IVH_3d_20', 'IVH_3d_50', 'AVG', 'strength'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Adcy8.csv),0.946152927,0.855575368,1.060615729,0.86917714,0.769432925,0.900190818, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Cacna1c.csv),0.982291187,0.899990085,1.017292264,0.849445954,0.777988071,0.905401512, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Grm7.csv),0.942128893,0.83584168,0.907081977,0.865630968,0.80820525,0.871777754, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Kcnq3.csv),1.080681153,0.869777602,0.984657458,0.827333298,0.729655121,0.898420926, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Mylk.csv),1.039028546,0.974366357,1.039486515,0.977588795,0.87242205,0.980578453, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Scn10a.csv),0.940525775,1.015861847,0.982619956,1.058043357,0.989891915,0.99738857, '+'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Scn4a.csv),1,1,1,1,1,1, '++'
IVH_3d-[I_V-VIa-VIb]up--(Calm2_Trpc5.csv),0.939458612,1.000680018,0.970695002,1.006300194,1.021863272,0.98779942, '+'
IVH_3d-[I_V-VIa-VIb]up--(Ccl27a_Ackr2.csv),1.051980198,0.984412634,1.027746344,0.981489453,0.967461668,1.00261806, '++'
